Name,type,abilitie(s),HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Weight (Kg),Height (m)
bulbasaur,"grass, poison","overgrow, chlorophyll",45,49,49,65,65,45,69,0.7
ivysaur,"grass, poison","overgrow, chlorophyll",60,62,63,80,80,60,130,1.0
venusaur,"grass, poison","overgrow, chlorophyll",80,82,83,100,100,80,1000,2.0
charmander,fire,"blaze, solar-power",39,52,43,60,50,65,85,0.6
charmeleon,fire,"blaze, solar-power",58,64,58,80,65,80,190,1.1
charizard,"fire, flying","blaze, solar-power",78,84,78,109,85,100,905,1.7
squirtle,water,"torrent, rain-dish",44,48,65,50,64,43,90,0.5
wartortle,water,"torrent, rain-dish",59,63,80,65,80,58,225,1.0
blastoise,water,"torrent, rain-dish",79,83,100,85,105,78,855,1.6
caterpie,bug,"shield-dust, run-away",45,30,35,20,20,45,29,0.3
metapod,bug,shed-skin,50,20,55,25,25,30,99,0.7
butterfree,"bug, flying","compound-eyes, tinted-lens",60,45,50,90,80,70,320,1.1
weedle,"bug, poison","shield-dust, run-away",40,35,30,20,20,50,32,0.3
kakuna,"bug, poison",shed-skin,45,25,50,25,25,35,100,0.6
beedrill,"bug, poison","swarm, sniper",65,90,40,45,80,75,295,1.0
pidgey,"normal, flying","keen-eye, tangled-feet, big-pecks",40,45,40,35,35,56,18,0.3
pidgeotto,"normal, flying","keen-eye, tangled-feet, big-pecks",63,60,55,50,50,71,300,1.1
pidgeot,"normal, flying","keen-eye, tangled-feet, big-pecks",83,80,75,70,70,101,395,1.5
rattata,normal,"run-away, guts, hustle",30,56,35,25,35,72,35,0.3
raticate,normal,"run-away, guts, hustle",55,81,60,50,70,97,185,0.7
spearow,"normal, flying","keen-eye, sniper",40,60,30,31,31,70,20,0.3
fearow,"normal, flying","keen-eye, sniper",65,90,65,61,61,100,380,1.2
ekans,poison,"intimidate, shed-skin, unnerve",35,60,44,40,54,55,69,2.0
arbok,poison,"intimidate, shed-skin, unnerve",60,95,69,65,79,80,650,3.5
pikachu,electric,"static, lightning-rod",35,55,40,50,50,90,60,0.4
raichu,electric,"static, lightning-rod",60,90,55,90,80,110,300,0.8
sandshrew,ground,"sand-veil, sand-rush",50,75,85,20,30,40,120,0.6
sandslash,ground,"sand-veil, sand-rush",75,100,110,45,55,65,295,1.0
bulbasaur,"grass, poison","overgrow, chlorophyll",45,49,49,65,65,45,69,0.7
ivysaur,"grass, poison","overgrow, chlorophyll",60,62,63,80,80,60,130,1.0
venusaur,"grass, poison","overgrow, chlorophyll",80,82,83,100,100,80,1000,2.0
charmander,fire,"blaze, solar-power",39,52,43,60,50,65,85,0.6
charmeleon,fire,"blaze, solar-power",58,64,58,80,65,80,190,1.1
charizard,"fire, flying","blaze, solar-power",78,84,78,109,85,100,905,1.7
squirtle,water,"torrent, rain-dish",44,48,65,50,64,43,90,0.5
wartortle,water,"torrent, rain-dish",59,63,80,65,80,58,225,1.0
blastoise,water,"torrent, rain-dish",79,83,100,85,105,78,855,1.6
caterpie,bug,"shield-dust, run-away",45,30,35,20,20,45,29,0.3
metapod,bug,shed-skin,50,20,55,25,25,30,99,0.7
butterfree,"bug, flying","compound-eyes, tinted-lens",60,45,50,90,80,70,320,1.1
weedle,"bug, poison","shield-dust, run-away",40,35,30,20,20,50,32,0.3
